pair_id,objective,cost_a,cost_b,agreement_count,vertices_compared,agreement_fraction
2014e5_to_1955e3,bottleneck,discrete_frechet_distance,hausdorff_distance,46,51,0.9019607843137255
2014e5_to_1955e3,bottleneck,discrete_frechet_distance,log_length_distortion,23,51,0.45098039215686275
2014e5_to_1955e3,bottleneck,discrete_frechet_distance,mean_distance_tangent,28,51,0.5490196078431373
2014e5_to_1955e3,bottleneck,discrete_frechet_distance,relative_length_error,25,51,0.49019607843137253
2014e5_to_1955e3,bottleneck,discrete_frechet_distance,symmetric_corridor_exceedance,33,51,0.6470588235294118
2014e5_to_1955e3,bottleneck,dynamic_time_warping_distance,hausdorff_distance,27,51,0.5294117647058824
2014e5_to_1955e3,bottleneck,dynamic_time_warping_distance,log_length_distortion,16,51,0.3137254901960784
2014e5_to_1955e3,bottleneck,dynamic_time_warping_distance,mean_distance_tangent,32,51,0.6274509803921569
2014e5_to_1955e3,bottleneck,dynamic_time_warping_distance,relative_length_error,19,51,0.37254901960784315
2014e5_to_1955e3,bottleneck,dynamic_time_warping_distance,symmetric_corridor_exceedance,34,51,0.6666666666666666
2014e5_to_1955e3,bottleneck,hausdorff_distance,log_length_distortion,22,51,0.43137254901960786
2014e5_to_1955e3,bottleneck,hausdorff_distance,mean_distance_tangent,28,51,0.5490196078431373
2014e5_to_1955e3,bottleneck,hausdorff_distance,relative_length_error,24,51,0.47058823529411764
2014e5_to_1955e3,bottleneck,hausdorff_distance,symmetric_corridor_exceedance,36,51,0.7058823529411765
2014e5_to_1955e3,bottleneck,log_length_distortion,mean_distance_tangent,19,51,0.37254901960784315
2014e5_to_1955e3,bottleneck,log_length_distortion,relative_length_error,35,51,0.6862745098039216
2014e5_to_1955e3,bottleneck,log_length_distortion,symmetric_corridor_exceedance,19,51,0.37254901960784315
2014e5_to_1955e3,bottleneck,mean_distance_tangent,relative_length_error,20,51,0.39215686274509803
2014e5_to_1955e3,bottleneck,mean_distance_tangent,symmetric_corridor_exceedance,37,51,0.7254901960784313
2014e5_to_1955e3,bottleneck,relative_length_error,symmetric_corridor_exceedance,19,51,0.37254901960784315
2014e5_to_1955e5,additive,discrete_frechet_distance,dynamic_time_warping_distance,40,51,0.7843137254901961
2014e5_to_1955e5,additive,discrete_frechet_distance,hausdorff_distance,44,51,0.8627450980392157
2014e5_to_1955e5,additive,discrete_frechet_distance,log_length_distortion,29,51,0.5686274509803921
2014e5_to_1955e5,additive,discrete_frechet_distance,mean_distance_tangent,38,51,0.7450980392156863
2014e5_to_1955e5,additive,discrete_frechet_distance,relative_length_error,36,51,0.7058823529411765
2014e5_to_1955e5,additive,discrete_frechet_distance,symmetric_corridor_exceedance,40,51,0.7843137254901961
2014e5_to_1955e5,additive,dynamic_time_warping_distance,hausdorff_distance,43,51,0.8431372549019608
2014e5_to_1955e5,additive,dynamic_time_warping_distance,log_length_distortion,22,51,0.43137254901960786
2014e5_to_1955e5,additive,dynamic_time_warping_distance,mean_distance_tangent,37,51,0.7254901960784313
2014e5_to_1955e5,additive,dynamic_time_warping_distance,relative_length_error,30,51,0.5882352941176471
2014e5_to_1955e5,additive,dynamic_time_warping_distance,symmetric_corridor_exceedance,39,51,0.7647058823529411
2014e5_to_1955e5,additive,hausdorff_distance,log_length_distortion,25,51,0.49019607843137253
2014e5_to_1955e5,additive,hausdorff_distance,mean_distance_tangent,41,51,0.803921568627451
2014e5_to_1955e5,additive,hausdorff_distance,relative_length_error,33,51,0.6470588235294118
2014e5_to_1955e5,additive,hausdorff_distance,symmetric_corridor_exceedance,43,51,0.8431372549019608
2014e5_to_1955e5,additive,log_length_distortion,mean_distance_tangent,23,51,0.45098039215686275
2014e5_to_1955e5,additive,log_length_distortion,relative_length_error,43,51,0.8431372549019608
2014e5_to_1955e5,additive,log_length_distortion,symmetric_corridor_exceedance,25,51,0.49019607843137253
2014e5_to_1955e5,additive,mean_distance_tangent,relative_length_error,31,51,0.6078431372549019
2014e5_to_1955e5,additive,mean_distance_tangent,symmetric_corridor_exceedance,48,51,0.9411764705882353
2014e5_to_1955e5,additive,relative_length_error,symmetric_corridor_exceedance,33,51,0.6470588235294118
2014e5_to_1955e5,bottleneck,discrete_frechet_distance,dynamic_time_warping_distance,44,51,0.8627450980392157
2014e5_to_1955e5,bottleneck,discrete_frechet_distance,hausdorff_distance,48,51,0.9411764705882353
2014e5_to_1955e5,bottleneck,discrete_frechet_distance,log_length_distortion,33,51,0.6470588235294118
2014e5_to_1955e5,bottleneck,discrete_frechet_distance,mean_distance_tangent,36,51,0.7058823529411765
2014e5_to_1955e5,bottleneck,discrete_frechet_distance,relative_length_error,33,51,0.6470588235294118
2014e5_to_1955e5,bottleneck,discrete_frechet_distance,symmetric_corridor_exceedance,40,51,0.7843137254901961
2014e5_to_1955e5,bottleneck,dynamic_time_warping_distance,hausdorff_distance,41,51,0.803921568627451
2014e5_to_1955e5,bottleneck,dynamic_time_warping_distance,log_length_distortion,30,51,0.5882352941176471
2014e5_to_1955e5,bottleneck,dynamic_time_warping_distance,mean_distance_tangent,37,51,0.7254901960784313
2014e5_to_1955e5,bottleneck,dynamic_time_warping_distance,relative_length_error,30,51,0.5882352941176471
2014e5_to_1955e5,bottleneck,dynamic_time_warping_distance,symmetric_corridor_exceedance,43,51,0.8431372549019608
2014e5_to_1955e5,bottleneck,hausdorff_distance,log_length_distortion,36,51,0.7058823529411765
2014e5_to_1955e5,bottleneck,hausdorff_distance,mean_distance_tangent,39,51,0.7647058823529411
2014e5_to_1955e5,bottleneck,hausdorff_distance,relative_length_error,36,51,0.7058823529411765
2014e5_to_1955e5,bottleneck,hausdorff_distance,symmetric_corridor_exceedance,43,51,0.8431372549019608
