source,target,rho,candidate_mode,top_k,subdivision_points,adaptive_max_points_per_source,adaptive_min_separation,matching_target_vertices,matching_target_edges,empty_domains,total_candidates,minimum_candidates,maximum_candidates,estimated_state_upper_bound,largest_candidate_product,elapsed_seconds,status,error
1955e7,1955e5,10.0,target_junctions,25,2,8,1.0,70,103,0,33,2,7,188,96,0.038665,ok,
1955e7,1955e5,10.0,original_target_vertices,25,2,8,1.0,2828,2861,0,102,1,24,3229,2520,0.378404,ok,
1955e7,1955e5,10.0,uniform_target_subdivision,25,2,8,1.0,276,309,0,20,1,5,43,20,0.146645,ok,
1955e7,1955e5,10.0,adaptive_closest_points,25,2,8,1.0,75,108,0,16,1,4,27,9,0.113049,ok,
1955e7,1955e5,12.5,target_junctions,25,2,8,1.0,70,103,0,33,2,7,188,96,0.028214,ok,
1955e7,1955e5,12.5,original_target_vertices,25,2,8,1.0,2828,2861,0,131,2,25,9607,8400,0.341663,ok,
1955e7,1955e5,12.5,uniform_target_subdivision,25,2,8,1.0,276,309,0,26,1,8,74,32,0.143072,ok,
1955e7,1955e5,12.5,adaptive_closest_points,25,2,8,1.0,75,108,0,16,1,4,27,9,0.102354,ok,
1955e7,1998e3,10.0,target_junctions,25,2,8,1.0,321,509,0,42,2,8,339,210,0.130192,ok,
1955e7,1998e3,10.0,original_target_vertices,25,2,8,1.0,4322,4511,0,63,4,11,660,320,0.527377,ok,
1955e7,1998e3,10.0,uniform_target_subdivision,25,2,8,1.0,1339,1527,0,39,2,13,146,54,0.576498,ok,
1955e7,1998e3,10.0,adaptive_closest_points,25,2,8,1.0,346,534,0,39,1,9,226,126,0.302074,ok,
1955e7,1998e3,12.5,target_junctions,25,2,8,1.0,321,509,0,46,2,9,419,270,0.152803,ok,
1955e7,1998e3,12.5,original_target_vertices,25,2,8,1.0,4322,4511,0,86,7,13,1882,1300,0.575389,ok,
1955e7,1998e3,12.5,uniform_target_subdivision,25,2,8,1.0,1339,1527,0,61,2,17,664,440,0.400756,ok,
1955e7,1998e3,12.5,adaptive_closest_points,25,2,8,1.0,347,535,0,42,1,9,273,162,0.241463,ok,
1955e7,1998e5,10.0,target_junctions,25,2,8,1.0,54,78,0,27,2,5,121,60,0.020410,ok,
1955e7,1998e5,10.0,original_target_vertices,25,2,8,1.0,2353,2377,0,50,3,10,323,120,0.287812,ok,
1955e7,1998e5,10.0,uniform_target_subdivision,25,2,8,1.0,210,234,0,10,1,2,9,2,0.091589,ok,
1955e7,1998e5,10.0,adaptive_closest_points,25,2,8,1.0,68,92,0,21,1,4,60,24,0.076818,ok,
1955e7,1998e5,12.5,target_junctions,25,2,8,1.0,54,78,0,29,2,6,155,90,0.020296,ok,
1955e7,1998e5,12.5,original_target_vertices,25,2,8,1.0,2353,2377,0,66,6,11,814,480,0.276430,ok,
1955e7,1998e5,12.5,uniform_target_subdivision,25,2,8,1.0,210,234,0,16,1,5,26,10,0.091425,ok,
1955e7,1998e5,12.5,adaptive_closest_points,25,2,8,1.0,69,93,0,23,1,5,78,40,0.083315,ok,
1955e7,1998e7,10.0,target_junctions,25,2,8,1.0,14,18,1,22,0,4,76,32,0.004996,ok,
1955e7,1998e7,10.0,original_target_vertices,25,2,8,1.0,1545,1549,1,45,0,10,308,120,0.206759,ok,
1955e7,1998e7,10.0,uniform_target_subdivision,25,2,8,1.0,50,54,3,5,0,1,3,1,0.034945,ok,
1955e7,1998e7,10.0,adaptive_closest_points,25,2,8,1.0,25,29,1,16,0,3,34,9,0.071935,ok,
1955e7,1998e7,12.5,target_junctions,25,2,8,1.0,14,18,1,22,0,4,76,32,0.004540,ok,
1955e7,1998e7,12.5,original_target_vertices,25,2,8,1.0,1545,1549,1,59,0,11,758,480,0.216298,ok,
1955e7,1998e7,12.5,uniform_target_subdivision,25,2,8,1.0,50,54,3,5,0,1,3,1,0.035707,ok,
1955e7,1998e7,12.5,adaptive_closest_points,25,2,8,1.0,25,29,1,16,0,3,34,9,0.070804,ok,
1955e7,2014e3,10.0,target_junctions,25,2,8,1.0,317,493,0,32,2,7,162,84,0.124825,ok,
1955e7,2014e3,10.0,original_target_vertices,25,2,8,1.0,4059,4236,0,67,1,20,760,480,0.406604,ok,
1955e7,2014e3,10.0,uniform_target_subdivision,25,2,8,1.0,1303,1479,0,36,1,10,168,90,0.385836,ok,
1955e7,2014e3,10.0,adaptive_closest_points,25,2,8,1.0,331,507,0,26,1,6,86,45,0.215555,ok,
1955e7,2014e3,12.5,target_junctions,25,2,8,1.0,317,493,0,36,2,8,224,128,0.127746,ok,
1955e7,2014e3,12.5,original_target_vertices,25,2,8,1.0,4059,4236,0,91,1,25,3789,3300,0.415852,ok,
1955e7,2014e3,12.5,uniform_target_subdivision,25,2,8,1.0,1303,1479,0,49,1,12,630,480,0.390211,ok,
1955e7,2014e3,12.5,adaptive_closest_points,25,2,8,1.0,332,508,0,29,1,6,125,72,0.230520,ok,
1955e7,2014e5,10.0,target_junctions,25,2,8,1.0,51,74,1,21,0,6,68,36,0.019044,ok,
1955e7,2014e5,10.0,original_target_vertices,25,2,8,1.0,2366,2389,1,54,0,20,376,160,0.329001,ok,
1955e7,2014e5,10.0,uniform_target_subdivision,25,2,8,1.0,199,222,2,11,0,4,12,4,0.083360,ok,
1955e7,2014e5,10.0,adaptive_closest_points,25,2,8,1.0,60,83,1,14,0,4,22,8,0.069954,ok,
1955e7,2014e5,12.5,target_junctions,25,2,8,1.0,51,74,1,22,0,6,80,48,0.019867,ok,
1955e7,2014e5,12.5,original_target_vertices,25,2,8,1.0,2366,2389,1,72,0,25,1529,1200,0.277131,ok,
1955e7,2014e5,12.5,uniform_target_subdivision,25,2,8,1.0,199,222,2,12,0,4,16,8,0.083874,ok,
1955e7,2014e5,12.5,adaptive_closest_points,25,2,8,1.0,60,83,1,15,0,4,25,9,0.071252,ok,
1955e7,2014e7,10.0,target_junctions,25,2,8,1.0,12,15,1,15,0,3,28,12,0.005395,ok,
1955e7,2014e7,10.0,original_target_vertices,25,2,8,1.0,1618,1621,1,46,0,14,294,112,0.225382,ok,
1955e7,2014e7,10.0,uniform_target_subdivision,25,2,8,1.0,42,45,4,4,0,1,2,1,0.032974,ok,
1955e7,2014e7,10.0,adaptive_closest_points,25,2,8,1.0,19,22,1,9,0,2,7,2,0.057645,ok,
1955e7,2014e7,12.5,target_junctions,25,2,8,1.0,12,15,1,16,0,4,32,16,0.006212,ok,
1955e7,2014e7,12.5,original_target_vertices,25,2,8,1.0,1618,1621,1,65,0,20,1252,960,0.234615,ok,
1955e7,2014e7,12.5,uniform_target_subdivision,25,2,8,1.0,42,45,3,5,0,1,2,1,0.036867,ok,
1955e7,2014e7,12.5,adaptive_closest_points,25,2,8,1.0,19,22,1,10,0,3,8,3,0.084861,ok,
1998e11,1955e3,10.0,target_junctions,25,2,8,1.0,371,581,0,5,2,3,6,6,0.158148,ok,
1998e11,1955e3,10.0,original_target_vertices,25,2,8,1.0,4489,4703,0,21,7,14,98,98,0.473225,ok,
1998e11,1955e3,10.0,uniform_target_subdivision,25,2,8,1.0,1533,1743,0,7,3,4,12,12,0.467923,ok,
1998e11,1955e3,10.0,adaptive_closest_points,25,2,8,1.0,373,583,0,4,2,2,4,4,0.192755,ok,
1998e11,1955e3,12.5,target_junctions,25,2,8,1.0,371,581,0,6,2,4,8,8,0.142028,ok,
1998e11,1955e3,12.5,original_target_vertices,25,2,8,1.0,4489,4703,0,24,7,17,119,119,0.421303,ok,
1998e11,1955e3,12.5,uniform_target_subdivision,25,2,8,1.0,1533,1743,0,8,3,5,15,15,0.448284,ok,
1998e11,1955e3,12.5,adaptive_closest_points,25,2,8,1.0,373,583,0,5,2,3,6,6,0.190193,ok,
1998e11,1955e5,10.0,target_junctions,25,2,8,1.0,70,103,0,5,2,3,6,6,0.033577,ok,
1998e11,1955e5,10.0,original_target_vertices,25,2,8,1.0,2828,2861,0,21,7,14,98,98,0.350840,ok,
1998e11,1955e5,10.0,uniform_target_subdivision,25,2,8,1.0,276,309,0,5,2,3,6,6,0.113322,ok,
1998e11,1955e5,10.0,adaptive_closest_points,25,2,8,1.0,72,105,0,4,2,2,4,4,0.065514,ok,
1998e11,1955e5,12.5,target_junctions,25,2,8,1.0,70,103,0,6,2,4,8,8,0.027116,ok,
1998e11,1955e5,12.5,original_target_vertices,25,2,8,1.0,2828,2861,0,24,7,17,119,119,0.319521,ok,
1998e11,1955e5,12.5,uniform_target_subdivision,25,2,8,1.0,276,309,0,7,3,4,12,12,0.110984,ok,
1998e11,1955e5,12.5,adaptive_closest_points,25,2,8,1.0,72,105,0,5,2,3,6,6,0.063021,ok,
1998e11,1955e7,10.0,target_junctions,25,2,8,1.0,8,9,1,2,0,2,0,0,0.004042,ok,
