candidate_semantics,source,target,source_vertices,source_edges,target_junction_vertices,target_junction_edges,candidate_mode,minimum_rho,top_k,subdivision_points,adaptive_max_points_per_source,adaptive_min_separation,matching_target_vertices,matching_target_edges,total_candidates,minimum_candidates,maximum_candidates,estimated_state_upper_bound,largest_candidate_product,search_seconds,status
baseline_junctions_plus_mode_additions_v2,1955e7,2014e5,8,9,51,74,original_target_vertices,24.047,25,2,8,1.0,2366,2389,218,3,67,26613,22780,0.573383,ok
baseline_junctions_plus_mode_additions_v2,1955e7,2014e5,8,9,51,74,uniform_target_subdivision,24.047,25,2,8,1.0,199,222,49,2,11,523,363,0.372797,ok
baseline_junctions_plus_mode_additions_v2,1955e7,2014e5,8,9,51,74,adaptive_closest_points,24.047,25,2,8,1.0,63,86,44,3,9,325,168,5.173728,ok
baseline_junctions_plus_mode_additions_v2,1955e7,2014e7,8,9,12,15,target_junctions,24.047,25,2,8,1.0,12,15,20,2,4,48,16,0.060267,ok
baseline_junctions_plus_mode_additions_v2,1955e7,2014e7,8,9,12,15,original_target_vertices,24.047,25,2,8,1.0,1618,1621,162,3,39,14776,12597,0.304886,ok
baseline_junctions_plus_mode_additions_v2,1955e7,2014e7,8,9,12,15,uniform_target_subdivision,24.047,25,2,8,1.0,42,45,23,2,5,70,30,0.078206,ok
baseline_junctions_plus_mode_additions_v2,1955e7,2014e7,8,9,12,15,adaptive_closest_points,24.047,25,2,8,1.0,20,23,28,2,6,117,54,4.614155,ok
baseline_junctions_plus_mode_additions_v2,1998e11,1955e3,2,1,371,581,target_junctions,3.906,25,2,8,1.0,371,581,4,2,2,4,4,1.121952,ok
baseline_junctions_plus_mode_additions_v2,1998e11,1955e3,2,1,371,581,original_target_vertices,3.906,25,2,8,1.0,4489,4703,7,2,5,10,10,1.502620,ok
baseline_junctions_plus_mode_additions_v2,1998e11,1955e3,2,1,371,581,uniform_target_subdivision,3.906,25,2,8,1.0,1533,1743,5,2,3,6,6,1.272846,ok
baseline_junctions_plus_mode_additions_v2,1998e11,1955e3,2,1,371,581,adaptive_closest_points,3.906,25,2,8,1.0,372,582,5,2,3,6,6,3.689270,ok
baseline_junctions_plus_mode_additions_v2,1998e11,1955e5,2,1,70,103,target_junctions,3.906,25,2,8,1.0,70,103,4,2,2,4,4,0.199803,ok
baseline_junctions_plus_mode_additions_v2,1998e11,1955e5,2,1,70,103,original_target_vertices,3.906,25,2,8,1.0,2828,2861,7,2,5,10,10,0.384127,ok
baseline_junctions_plus_mode_additions_v2,1998e11,1955e5,2,1,70,103,uniform_target_subdivision,3.906,25,2,8,1.0,276,309,5,2,3,6,6,0.213844,ok
baseline_junctions_plus_mode_additions_v2,1998e11,1955e5,2,1,70,103,adaptive_closest_points,3.906,25,2,8,1.0,71,104,5,2,3,6,6,1.009284,ok
